object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Pore,Probability of na,Convexity,Defect Center_0,Defect Center_1,Defect Center_2,Number of Defects,Mean Defect Displacement,Kurtosis of Defect Area,Mean Defect Area,Skewness of Defect Area,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Convex Hull Center_2,Convex Hull Area,Object Center_0,Object Center_1,Object Center_2,Object Area,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Size in pixels,Center of the object_0,Center of the object_1,Center of the object_2,Histogram of Intensity_0,Histogram of Intensity_1,Histogram of Intensity_2,Histogram of Intensity_3,Histogram of Intensity_4,Histogram of Intensity_5,Histogram of Intensity_6,Histogram of Intensity_7,Histogram of Intensity_8,Histogram of Intensity_9,Histogram of Intensity_10,Histogram of Intensity_11,Histogram of Intensity_12,Histogram of Intensity_13,Histogram of Intensity_14,Histogram of Intensity_15,Histogram of Intensity_16,Histogram of Intensity_17,Histogram of Intensity_18,Histogram of Intensity_19,Histogram of Intensity_20,Histogram of Intensity_21,Histogram of Intensity_22,Histogram of Intensity_23,Histogram of Intensity_24,Histogram of Intensity_25,Histogram of Intensity_26,Histogram of Intensity_27,Histogram of Intensity_28,Histogram of Intensity_29,Histogram of Intensity_30,Histogram of Intensity_31,Histogram of Intensity_32,Histogram of Intensity_33,Histogram of Intensity_34,Histogram of Intensity_35,Histogram of Intensity_36,Histogram of Intensity_37,Histogram of Intensity_38,Histogram of Intensity_39,Histogram of Intensity_40,Histogram of Intensity_41,Histogram of Intensity_42,Histogram of Intensity_43,Histogram of Intensity_44,Histogram of Intensity_45,Histogram of Intensity_46,Histogram of Intensity_47,Histogram of Intensity_48,Histogram of Intensity_49,Histogram of Intensity_50,Histogram of Intensity_51,Histogram of Intensity_52,Histogram of Intensity_53,Histogram of Intensity_54,Histogram of Intensity_55,Histogram of Intensity_56,Histogram of Intensity_57,Histogram of Intensity_58,Histogram of Intensity_59,Histogram of Intensity_60,Histogram of Intensity_61,Histogram of Intensity_62,Histogram of Intensity_63,Histogram of Intensity in neighborhood_0,Histogram of Intensity in neighborhood_1,Histogram of Intensity in neighborhood_2,Histogram of Intensity in neighborhood_3,Histogram of Intensity in neighborhood_4,Histogram of Intensity in neighborhood_5,Histogram of Intensity in neighborhood_6,Histogram of Intensity in neighborhood_7,Histogram of Intensity in neighborhood_8,Histogram of Intensity in neighborhood_9,Histogram of Intensity in neighborhood_10,Histogram of Intensity in neighborhood_11,Histogram of Intensity in neighborhood_12,Histogram of Intensity in neighborhood_13,Histogram of Intensity in neighborhood_14,Histogram of Intensity in neighborhood_15,Histogram of Intensity in neighborhood_16,Histogram of Intensity in neighborhood_17,Histogram of Intensity in neighborhood_18,Histogram of Intensity in neighborhood_19,Histogram of Intensity in neighborhood_20,Histogram of Intensity in neighborhood_21,Histogram of Intensity in neighborhood_22,Histogram of Intensity in neighborhood_23,Histogram of Intensity in neighborhood_24,Histogram of Intensity in neighborhood_25,Histogram of Intensity in neighborhood_26,Histogram of Intensity in neighborhood_27,Histogram of Intensity in neighborhood_28,Histogram of Intensity in neighborhood_29,Histogram of Intensity in neighborhood_30,Histogram of Intensity in neighborhood_31,Histogram of Intensity in neighborhood_32,Histogram of Intensity in neighborhood_33,Histogram of Intensity in neighborhood_34,Histogram of Intensity in neighborhood_35,Histogram of Intensity in neighborhood_36,Histogram of Intensity in neighborhood_37,Histogram of Intensity in neighborhood_38,Histogram of Intensity in neighborhood_39,Histogram of Intensity in neighborhood_40,Histogram of Intensity in neighborhood_41,Histogram of Intensity in neighborhood_42,Histogram of Intensity in neighborhood_43,Histogram of Intensity in neighborhood_44,Histogram of Intensity in neighborhood_45,Histogram of Intensity in neighborhood_46,Histogram of Intensity in neighborhood_47,Histogram of Intensity in neighborhood_48,Histogram of Intensity in neighborhood_49,Histogram of Intensity in neighborhood_50,Histogram of Intensity in neighborhood_51,Histogram of Intensity in neighborhood_52,Histogram of Intensity in neighborhood_53,Histogram of Intensity in neighborhood_54,Histogram of Intensity in neighborhood_55,Histogram of Intensity in neighborhood_56,Histogram of Intensity in neighborhood_57,Histogram of Intensity in neighborhood_58,Histogram of Intensity in neighborhood_59,Histogram of Intensity in neighborhood_60,Histogram of Intensity in neighborhood_61,Histogram of Intensity in neighborhood_62,Histogram of Intensity in neighborhood_63,Kurtosis of Intensity,Kurtosis of Intensity in neighborhood,Maximum intensity,Maximum intensity in neighborhood,Mean Intensity,Mean Intensity in neighborhood,Minimum intensity,Minimum intensity in neighborhood,Quantiles of Intensity_0,Quantiles of Intensity_1,Quantiles of Intensity_2,Quantiles of Intensity_3,Quantiles of Intensity_4,Quantiles of Intensity_5,Quantiles of Intensity_6,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Radii of the object_0,Radii of the object_1,Radii of the object_2,Skewness of Intensity,Skewness of Intensity in neighborhood,Total Intensity,Total Intensity in neighborhood,Variance of Intensity,Variance of Intensity in neighborhood
10,0,11,Pore,Pore,1.0,0.0,0.25707072,83.5294,297.51028,115.88826,1.0,2.3735619,0.0,11768.0,0.0,0.0,84.0,297.5,115.5,15840.0,85.360016,297.47028,114.377945,4072.0,101.0,306.0,131.0,68.0,290.0,101.0,4072.0,85.360016,297.47028,114.377945,377.0,206.0,264.0,328.0,429.0,453.0,452.0,419.0,318.0,249.0,183.0,127.0,90.0,69.0,31.0,25.0,16.0,7.0,9.0,8.0,4.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36880.0,1340.0,1602.0,2024.0,2428.0,2741.0,3099.0,3463.0,3536.0,3810.0,3922.0,4110.0,4219.0,4427.0,4348.0,4209.0,4111.0,3797.0,3590.0,3403.0,2901.0,2658.0,2271.0,1998.0,1764.0,1452.0,1235.0,1089.0,871.0,689.0,567.0,478.0,411.0,306.0,267.0,219.0,182.0,132.0,115.0,85.0,78.0,50.0,40.0,46.0,42.0,32.0,31.0,19.0,20.0,12.0,13.0,13.0,10.0,9.0,9.0,8.0,8.0,3.0,1.0,5.0,5.0,1.0,2.0,24.0,1.0823809,0.102497354,103.0,255.0,24.089146,41.410988,0.0,0.0,0.0,4.568492,14.030345,23.721544,33.453716,43.540726,103.0,0.6879039,-0.7089092,-0.15567908,0.23197356,0.011501652,0.9726541,0.6877329,0.705206,-0.17236023,9.602151,3.761597,2.5349746,0.6552009,0.66090614,98091.0,5020254.0,226.15683,1428.9296
11,0,12,Pore,Pore,1.0,0.0,0.11772727,195.77968,177.83052,116.07984,1.0,6.3221335,0.0,77640.0,0.0,0.0,196.5,178.0,116.0,88000.0,201.89827,179.27008,115.40164,10360.0,229.0,206.0,129.0,165.0,151.0,104.0,10360.0,201.89827,179.27008,115.40164,7.0,25.0,64.0,181.0,305.0,390.0,502.0,636.0,912.0,1083.0,1277.0,1282.0,1089.0,825.0,630.0,386.0,253.0,163.0,91.0,54.0,36.0,41.0,33.0,25.0,15.0,14.0,7.0,6.0,8.0,8.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,69.0,221.0,554.0,1018.0,1484.0,2302.0,3180.0,4448.0,3902.0,5829.0,6753.0,7016.0,7113.0,7176.0,7192.0,6889.0,6693.0,4685.0,5904.0,5530.0,5157.0,4764.0,4208.0,3766.0,3272.0,3044.0,1974.0,2340.0,2094.0,1762.0,1514.0,1380.0,1156.0,1043.0,831.0,537.0,686.0,601.0,495.0,494.0,364.0,388.0,297.0,271.0,181.0,198.0,170.0,155.0,144.0,110.0,106.0,79.0,65.0,30.0,58.0,61.0,38.0,34.0,27.0,18.0,24.0,25.0,148.0,2.5046542,2.129602,150.0,255.0,43.17394,78.80061,0.0,6.0,0.0,24.414219,33.97204,43.197865,51.87898,60.963,150.0,0.7423729,0.66525227,-0.07951065,-0.63220155,0.7348456,0.24560764,0.2218191,-0.13206568,0.96610296,20.545383,7.785165,2.685424,0.71800685,1.1449616,447282.0,10408143.0,232.51646,1169.3546
12,0,13,Pore,Pore,1.0,0.0,0.27059627,32.84298,288.23642,130.53685,1.0,3.9959226,0.0,38460.0,0.0,0.0,33.0,288.5,129.5,52728.0,33.423256,289.21048,126.70515,14268.0,53.0,302.0,156.0,14.0,276.0,104.0,14268.0,33.423256,289.21048,126.70515,1526.0,693.0,861.0,1009.0,1135.0,1307.0,1291.0,1301.0,1171.0,1000.0,756.0,554.0,435.0,296.0,240.0,173.0,123.0,101.0,67.0,62.0,33.0,26.0,26.0,10.0,19.0,16.0,5.0,7.0,4.0,5.0,6.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43457.0,2974.0,3753.0,4729.0,5905.0,7114.0,8315.0,9622.0,10591.0,11207.0,11384.0,11496.0,11040.0,10192.0,9311.0,8578.0,7756.0,6860.0,5830.0,5005.0,4254.0,3555.0,3034.0,2529.0,2046.0,1711.0,1424.0,1137.0,901.0,781.0,653.0,548.0,476.0,385.0,326.0,264.0,217.0,188.0,186.0,156.0,120.0,113.0,89.0,91.0,67.0,79.0,59.0,52.0,37.0,24.0,40.0,40.0,25.0,26.0,20.0,17.0,11.0,15.0,8.0,10.0,11.0,9.0,10.0,71.0,1.9498668,1.8006223,140.0,255.0,26.723507,41.8788,0.0,0.0,0.0,3.7253644,13.876208,25.767271,37.481014,49.98513,140.0,0.41332892,-0.86194634,-0.2936115,0.2864647,-0.1829859,0.94045424,0.8643478,0.47282624,-0.17128383,13.055199,7.0556355,4.162496,0.9320427,0.8706839,381291.0,9252451.0,339.82355,1089.5322
13,0,14,Pore,Pore,1.0,0.0,0.16281812,95.507996,152.90143,115.18438,1.0,6.4082723,0.0,12073.0,0.0,0.0,96.0,152.0,115.0,14421.0,98.529816,147.36499,114.051956,2348.0,113.0,164.0,125.0,80.0,141.0,106.0,2348.0,98.529816,147.36499,114.051956,0.0,0.0,2.0,17.0,60.0,119.0,147.0,218.0,235.0,257.0,224.0,216.0,176.0,124.0,124.0,91.0,75.0,58.0,59.0,37.0,26.0,16.0,16.0,14.0,9.0,6.0,8.0,1.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,66.0,164.0,344.0,609.0,976.0,1097.0,1934.0,2527.0,3025.0,3477.0,3583.0,3816.0,2881.0,3660.0,3518.0,3372.0,3189.0,3014.0,2653.0,1938.0,2427.0,2278.0,2108.0,1931.0,1841.0,1675.0,1158.0,1542.0,1354.0,1252.0,1109.0,1041.0,938.0,675.0,755.0,726.0,616.0,574.0,544.0,484.0,326.0,403.0,345.0,362.0,272.0,260.0,238.0,146.0,207.0,156.0,164.0,153.0,122.0,120.0,87.0,100.0,85.0,68.0,70.0,70.0,66.0,840.0,1.7818794,1.8655503,143.0,255.0,44.752983,91.46368,10.0,8.0,10.0,24.9037,32.281914,41.96045,54.68876,69.67161,143.0,0.90295994,-0.37495315,-0.20993695,0.2521232,0.8578679,-0.4477684,0.34799033,0.35138693,0.86915475,8.591072,4.168776,2.0101864,1.0990586,1.2889689,105080.0,6910355.0,329.02502,1962.6821
14,0,15,Pore,Pore,1.0,0.0,0.19956414,274.14914,182.14604,123.48448,1.0,3.5930603,0.0,123043.0,0.0,0.0,274.5,182.5,124.0,153720.0,275.9073,183.91971,126.0677,30677.0,293.0,244.0,142.0,257.0,122.0,107.0,30677.0,275.9073,183.91971,126.0677,194.0,565.0,1506.0,3127.0,4432.0,5129.0,4592.0,3888.0,2996.0,1944.0,1129.0,617.0,312.0,136.0,65.0,23.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12271.0,16465.0,22683.0,24333.0,21049.0,16803.0,13591.0,11707.0,10700.0,10374.0,9636.0,9119.0,8235.0,7681.0,7179.0,6738.0,6254.0,5760.0,5551.0,4967.0,4519.0,4245.0,3799.0,3383.0,3247.0,2807.0,2601.0,2349.0,2119.0,1867.0,1634.0,1415.0,1363.0,1287.0,1118.0,993.0,830.0,725.0,681.0,563.0,475.0,407.0,369.0,292.0,232.0,202.0,157.0,134.0,116.0,113.0,76.0,53.0,43.0,35.0,33.0,23.0,16.0,15.0,15.0,16.0,14.0,5.0,7.0,57.0,0.27990666,1.7244929,75.0,255.0,24.674088,42.90738,0.0,0.0,0.0,12.975913,17.98475,24.24074,31.439209,38.27849,75.0,0.09374819,0.67674416,0.730225,-0.99550265,0.07375713,0.059449986,-0.013626869,-0.7325143,0.68061525,32.56104,7.8455667,5.4109445,0.43951693,1.330629,756927.0,11822957.0,97.03516,1395.1525
15,0,16,Pore,Pore,1.0,0.0,0.33506018,211.98978,119.76706,116.03927,1.0,1.7534733,0.0,12707.0,0.0,0.0,212.0,120.0,115.5,19110.0,212.02031,120.46228,114.4298,6403.0,232.0,138.0,123.0,193.0,103.0,109.0,6403.0,212.02031,120.46228,114.4298,10.0,39.0,112.0,297.0,515.0,783.0,850.0,867.0,746.0,567.0,443.0,325.0,271.0,174.0,128.0,89.0,67.0,42.0,30.0,19.0,11.0,8.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,104.0,275.0,619.0,1203.0,1787.0,2563.0,3228.0,4001.0,4367.0,4715.0,4748.0,4698.0,4509.0,4175.0,3839.0,3605.0,3230.0,2728.0,2501.0,2360.0,1988.0,1739.0,1576.0,1374.0,1214.0,985.0,944.0,792.0,660.0,591.0,530.0,394.0,388.0,353.0,267.0,250.0,231.0,183.0,157.0,133.0,125.0,117.0,95.0,72.0,56.0,60.0,52.0,32.0,42.0,26.0,24.0,34.0,35.0,16.0,18.0,9.0,13.0,10.0,2.0,8.0,7.0,39.0,1.4227375,2.7943456,107.0,255.0,32.331562,66.52468,0.0,0.0,0.0,17.34789,23.116245,30.627298,39.989902,50.88091,107.0,0.6855592,-0.7258922,0.055580072,-0.7247706,-0.68771195,-0.041949816,0.068674125,-0.011523722,-0.9975726,11.278488,5.226276,2.7983916,0.9385681,1.3254503,207019.0,4985027.0,185.04343,1031.3473
16,0,17,Pore,Pore,1.0,0.0,0.2813895,160.24858,137.05568,118.13531,1.0,5.584114,0.0,8854.0,0.0,0.0,159.0,138.0,118.0,12321.0,155.81137,140.41159,117.65446,3467.0,178.0,157.0,123.0,141.0,120.0,114.0,3467.0,155.81137,140.41159,117.65446,0.0,0.0,0.0,2.0,6.0,15.0,40.0,77.0,150.0,204.0,315.0,382.0,359.0,395.0,351.0,276.0,216.0,179.0,133.0,80.0,66.0,49.0,42.0,26.0,22.0,17.0,13.0,6.0,11.0,8.0,7.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,60.0,186.0,337.0,644.0,627.0,1175.0,1568.0,1881.0,2193.0,2358.0,1751.0,2361.0,2339.0,2308.0,2337.0,2233.0,2066.0,1420.0,1843.0,1740.0,1699.0,1489.0,1287.0,974.0,1219.0,1107.0,1039.0,965.0,840.0,574.0,710.0,666.0,580.0,543.0,455.0,399.0,303.0,316.0,293.0,235.0,243.0,204.0,111.0,163.0,152.0,130.0,117.0,98.0,85.0,59.0,61.0,64.0,63.0,59.0,47.0,38.0,44.0,31.0,36.0,33.0,22.0,290.0,4.8786874,1.9338331,190.0,255.0,55.69224,87.56991,15.0,9.0,15.0,36.966797,44.430473,53.647842,64.2711,76.71416,190.0,-0.64198095,-0.7628296,-0.07714577,-0.76671946,0.6388961,0.06287306,0.0013267068,0.099512465,-0.9950354,10.798753,5.3101788,1.799303,1.4314572,1.2205431,193085.0,4317109.0,309.60098,1680.1267
17,0,18,Pore,Pore,1.0,0.0,0.2647245,57.667057,113.994225,128.74655,1.0,3.3039968,0.0,16279.0,0.0,0.0,57.0,114.5,129.0,22140.0,55.147243,115.90479,129.70398,5861.0,78.0,125.0,143.0,37.0,105.0,116.0,5861.0,55.147243,115.90479,129.70398,25.0,28.0,61.0,137.0,295.0,531.0,695.0,751.0,725.0,634.0,547.0,426.0,314.0,253.0,149.0,111.0,81.0,34.0,33.0,19.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,345.0,692.0,1233.0,1995.0,3031.0,4440.0,5908.0,7363.0,8401.0,8692.0,8849.0,8326.0,7532.0,6964.0,6042.0,5291.0,4718.0,3994.0,3510.0,3041.0,2724.0,2357.0,2068.0,1868.0,1603.0,1485.0,1326.0,1188.0,1162.0,1038.0,901.0,835.0,702.0,693.0,604.0,581.0,542.0,471.0,452.0,421.0,398.0,361.0,317.0,283.0,269.0,249.0,259.0,237.0,194.0,206.0,179.0,166.0,156.0,130.0,118.0,114.0,116.0,114.0,96.0,104.0,81.0,78.0,1017.0,0.4669718,4.657934,98.0,255.0,35.187683,65.51025,0.0,0.0,0.0,20.222767,26.132053,34.114494,43.58593,53.46464,98.0,-0.99113274,0.07832722,-0.10733461,0.07510977,-0.33609182,-0.9388295,-0.10961019,-0.93856657,0.32722846,9.258116,5.880217,3.0155842,0.53618133,1.932544,206235.0,8454490.0,175.77539,1784.9592
18,0,19,Pore,Pore,1.0,0.0,0.19926295,170.71727,309.14297,148.94415,1.0,5.7706833,0.0,46281.0,0.0,0.0,171.0,309.5,150.0,57798.0,172.13615,310.9347,154.24295,11517.0,191.0,323.0,179.0,152.0,297.0,122.0,11517.0,172.13615,310.9347,154.24295,521.0,398.0,770.0,1454.0,1878.0,1861.0,1465.0,1072.0,748.0,428.0,295.0,191.0,135.0,92.0,53.0,46.0,36.0,22.0,18.0,10.0,6.0,6.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83312.0,1515.0,2591.0,3752.0,5125.0,5809.0,5989.0,5822.0,5787.0,5610.0,5470.0,5257.0,5106.0,4775.0,4497.0,4504.0,4339.0,4313.0,4041.0,4045.0,3751.0,3796.0,3577.0,3563.0,3417.0,3283.0,3087.0,3111.0,2908.0,2747.0,2611.0,2422.0,2435.0,2219.0,2014.0,1912.0,1761.0,1631.0,1554.0,1423.0,1274.0,1210.0,1086.0,1070.0,990.0,944.0,877.0,769.0,674.0,634.0,606.0,550.0,511.0,468.0,393.0,389.0,412.0,286.0,282.0,260.0,234.0,223.0,223.0,2282.0,3.308391,0.76165026,112.0,255.0,22.463142,54.152374,0.0,0.0,0.0,9.172859,15.214749,21.500853,28.971275,37.705406,112.0,-0.46651644,0.8720372,-0.1480322,0.25800934,-0.025919903,-0.9657947,0.84604585,0.48875278,0.21290168,16.024347,4.972854,3.7508912,1.1271622,1.1498402,258708.0,13079315.0,150.95682,3615.6594
19,0,20,0,Pore,1.0,0.0,0.33922997,5.81675,122.780815,145.45311,1.0,2.8281488,0.0,6985.0,0.0,0.0,5.0,123.0,145.0,10571.0,3.409091,123.42694,144.1174,3586.0,11.0,139.0,161.0,0.0,108.0,130.0,3586.0,3.409091,123.42694,144.1174,216.0,160.0,184.0,287.0,310.0,364.0,404.0,366.0,344.0,243.0,201.0,158.0,112.0,70.0,58.0,39.0,30.0,22.0,9.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.0,1039.0,1085.0,1869.0,1895.0,3237.0,2890.0,4486.0,4863.0,3987.0,5205.0,3828.0,4778.0,3298.0,4039.0,2474.0,2808.0,2351.0,1480.0,1566.0,995.0,1052.0,653.0,724.0,599.0,333.0,367.0,240.0,290.0,156.0,195.0,117.0,129.0,94.0,79.0,66.0,36.0,50.0,30.0,42.0,24.0,22.0,18.0,14.0,10.0,14.0,17.0,10.0,6.0,8.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.10071913,2.405303,86.0,228.0,27.081429,41.244358,0.0,0.0,0.0,7.535449,16.573715,26.5888,36.75299,47.57041,86.0,0.026861763,-0.03950216,-0.99885833,0.63598,-0.77023834,0.04756392,0.7712379,0.6365316,-0.004432623,9.126744,4.035806,2.4994876,0.44077978,0.9303142,97114.0,2767744.0,235.69164,573.2727
20,0,21,Pore,Pore,1.0,0.0,0.37246686,143.99036,278.28967,160.61626,1.0,3.8768213,0.0,53014.0,0.0,0.0,143.5,279.5,160.0,84480.0,142.67384,281.53915,158.96173,31466.0,168.0,296.0,188.0,120.0,264.0,133.0,31466.0,142.67384,281.53915,158.96173,0.0,3.0,18.0,126.0,463.0,1146.0,2076.0,3056.0,3660.0,3962.0,3742.0,3320.0,2736.0,2056.0,1475.0,1081.0,759.0,535.0,358.0,256.0,174.0,137.0,84.0,77.0,51.0,32.0,19.0,17.0,12.0,4.0,5.0,4.0,10.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,296.0,726.0,1601.0,2678.0,3702.0,4994.0,6242.0,7594.0,8326.0,9177.0,9648.0,9924.0,10064.0,10222.0,10196.0,10295.0,10334.0,10029.0,10081.0,9616.0,9420.0,9029.0,8515.0,8232.0,7852.0,7431.0,7102.0,6502.0,6000.0,5710.0,5225.0,5014.0,4674.0,4249.0,3949.0,3666.0,3383.0,3126.0,2921.0,2683.0,2577.0,2302.0,2163.0,2052.0,1890.0,1781.0,1584.0,1408.0,1351.0,1218.0,1102.0,1047.0,952.0,879.0,792.0,785.0,624.0,631.0,527.0,543.0,486.0,449.0,4770.0,3.0289114,0.6794571,172.0,255.0,42.698753,93.8098,4.0,0.0,4.0,26.575167,32.94022,41.145966,50.765102,61.536293,172.0,-0.51183593,0.8512739,-0.11557134,0.34401283,0.079825714,-0.93556565,0.78719705,0.5186141,0.3337068,13.427867,9.521227,5.7594995,1.1272492,0.9656234,1343559.0,27486364.0,212.0176,2773.5085
21,0,22,0,Pore,1.0,0.0,0.50566894,3.9357798,183.55046,138.9633,1.0,2.0543203,0.0,218.0,0.0,0.0,3.0,184.0,139.0,441.0,2.0852017,184.43947,139.03587,223.0,7.0,189.0,143.0,0.0,180.0,136.0,223.0,2.0852017,184.43947,139.03587,11.0,8.0,17.0,17.0,18.0,30.0,24.0,22.0,25.0,22.0,12.0,4.0,6.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,93.0,136.0,221.0,193.0,292.0,351.0,386.0,498.0,525.0,412.0,638.0,682.0,728.0,707.0,707.0,645.0,654.0,564.0,531.0,476.0,276.0,422.0,346.0,282.0,232.0,211.0,177.0,154.0,135.0,121.0,45.0,72.0,64.0,48.0,57.0,46.0,33.0,38.0,29.0,26.0,17.0,15.0,17.0,13.0,9.0,9.0,9.0,8.0,12.0,6.0,9.0,7.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-0.37517133,1.6449668,60.0,186.0,25.466368,47.072536,0.0,0.0,0.0,8.7421875,16.546225,25.649414,35.102345,42.06836,60.0,-0.4251961,-0.7791185,-0.46063295,-0.8778202,0.47899032,0.00012052521,0.22054482,0.40440413,-0.8875907,2.2719007,1.56925,1.4821168,0.15768012,0.8636192,5679.0,592502.0,169.85425,589.429
22,0,23,Pore,Pore,1.0,0.0,0.12385608,132.35098,128.88907,280.11032,1.0,5.754443,0.0,7582938.0,0.0,0.0,132.0,129.0,279.5,8654900.0,129.5172,129.7847,275.1827,1071962.0,265.0,187.0,422.0,0.0,72.0,138.0,1071962.0,129.5172,129.7847,275.1827,10956.0,13918.0,36045.0,80105.0,136308.0,174967.0,171659.0,140494.0,102858.0,70941.0,46244.0,29593.0,19440.0,12611.0,8126.0,5343.0,3532.0,2423.0,1718.0,1187.0,784.0,600.0,507.0,365.0,259.0,192.0,160.0,120.0,89.0,80.0,71.0,51.0,39.0,30.0,28.0,18.0,18.0,18.0,13.0,7.0,11.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232370.0,14458.0,34894.0,74391.0,127157.0,176051.0,213240.0,240556.0,260104.0,272448.0,274221.0,265307.0,248371.0,228517.0,206487.0,186066.0,165020.0,147143.0,130994.0,117098.0,103581.0,92302.0,82123.0,72637.0,64554.0,57488.0,51351.0,45345.0,41091.0,37005.0,33378.0,30138.0,27308.0,24263.0,22011.0,19832.0,17961.0,16239.0,14873.0,13346.0,12415.0,11176.0,10107.0,9166.0,8405.0,7588.0,7008.0,6444.0,5843.0,5310.0,4992.0,4474.0,4106.0,3767.0,3467.0,3188.0,2962.0,2709.0,2503.0,2261.0,2061.0,1971.0,1845.0,23243.0,6.1298575,4.053242,222.0,255.0,26.993256,58.62291,0.0,0.0,0.0,14.254926,19.648817,25.848593,33.405853,42.12826,222.0,0.37948376,-0.9189252,-0.10755709,0.04504204,0.13446455,-0.9898942,-0.92410135,-0.37080416,-0.09241738,58.319584,55.57519,21.08923,1.3925897,1.6525428,28935744.0,271349600.0,145.5595,1718.7184
