1.140000000000000000e+02,6.000000000000000000e+00,3.149876053489844097e+01
1.150000000000000000e+02,6.000000000000000000e+00,3.100477150818963779e+01
1.160000000000000000e+02,6.000000000000000000e+00,3.200004537267493276e+01
1.170000000000000000e+02,6.000000000000000000e+00,2.997116111882649747e+01
1.180000000000000000e+02,6.000000000000000000e+00,2.943534457403680804e+01
1.190000000000000000e+02,6.000000000000000000e+00,3.045578776422579992e+01
1.200000000000000000e+02,6.000000000000000000e+00,3.134173429731000127e+01
1.210000000000000000e+02,6.000000000000000000e+00,3.189542908072244387e+01
1.220000000000000000e+02,6.000000000000000000e+00,3.276673993698375398e+01
1.230000000000000000e+02,6.000000000000000000e+00,3.302316868602507327e+01
1.240000000000000000e+02,6.000000000000000000e+00,3.328718542931762414e+01
1.250000000000000000e+02,6.000000000000000000e+00,3.349214891450947817e+01
1.260000000000000000e+02,6.000000000000000000e+00,3.420217583320439303e+01
1.270000000000000000e+02,6.000000000000000000e+00,3.613457005591611448e+01
1.280000000000000000e+02,6.000000000000000000e+00,3.656801651522960128e+01
1.290000000000000000e+02,6.000000000000000000e+00,3.783857645386108715e+01
1.300000000000000000e+02,6.000000000000000000e+00,3.807757255350144732e+01
1.310000000000000000e+02,6.000000000000000000e+00,3.426261607416777366e+01
1.320000000000000000e+02,6.000000000000000000e+00,3.358705459898730084e+01
1.330000000000000000e+02,6.000000000000000000e+00,3.450793074372268165e+01
1.330000000000000000e+02,1.500000000000000000e+01,1.109891553049787838e+01
1.340000000000000000e+02,6.000000000000000000e+00,3.532385530828224063e+01
1.340000000000000000e+02,1.500000000000000000e+01,1.174002473240927102e+01
1.350000000000000000e+02,6.000000000000000000e+00,3.699638510165959104e+01
1.350000000000000000e+02,1.500000000000000000e+01,1.135409634909072096e+01
1.360000000000000000e+02,6.000000000000000000e+00,3.663324282875952775e+01
1.360000000000000000e+02,1.500000000000000000e+01,1.319528354157399264e+01
1.370000000000000000e+02,6.000000000000000000e+00,3.944084702158645683e+01
1.370000000000000000e+02,1.500000000000000000e+01,1.362257918476343299e+01
1.380000000000000000e+02,6.000000000000000000e+00,4.179574925009292485e+01
1.380000000000000000e+02,1.500000000000000000e+01,1.408215392234091468e+01
1.390000000000000000e+02,6.000000000000000000e+00,4.150150351662565384e+01
